Chino Valley Unified,"$10,931 ","$93,442 "
Rio Elementary,"$12,410 ","$85,938 "
Two Rock Union,"$13,355 ","$81,136 "
Graves Elementary,"$11,071 ","$92,500 "
San Lorenzo Unified,"$13,748 ","$79,082 "
Norwalk-La Mirada Unified,"$13,962 ","$77,957 "
Mulberry Elementary,"$13,781 ","$78,750 "
Templeton Unified,"$11,214 ","$91,541 "
Franklin-Mckinley Elementary,"$14,337 ","$75,898 "
Pajaro Valley Unified,"$15,343 ","$71,880 "
West Side Union Elementary,"$11,556 ","$89,667 "
Twin Ridges Elementary,"$19,969 ","$48,819 "
Fountain Valley Elementary,"$10,331 ","$97,113 "
Vista Unified,"$14,041 ","$78,566 "
San Diego Unified,"$14,457 ","$75,020 "
Newcastle Elementary,"$13,709 ","$80,278 "
Folsom-Cordova Unified,"$11,775 ","$88,346 "
Round Valley Joint Elementary,"$12,307 ","$87,679 "
John Swett Unified,"$12,782 ","$82,956 "
Monrovia Unified,"$13,518 ","$79,271 "
Tustin Unified,"$11,031 ","$91,676 "
Duarte Unified,"$14,365 ","$74,984 "
Julian Union Elementary,"$18,521 ","$56,700 "
Huntington Beach City Elementary,"$10,456 ","$97,092 "
Tres Pinos Union Elementary,"$9,333 ","$102,750 "
East Whittier City Elementary,"$12,032 ","$86,520 "
San Benito High,"$12,664 ","$86,216 "
Torrance Unified,"$11,194 ","$93,597 "
Galt Joint Union High,"$14,169 ","$75,670 "
Azusa Unified,"$15,088 ","$71,068 "
Cienega Union Elementary,"$14,600 ","$73,438 "
Brea-Olinda Unified,"$10,352 ","$94,654 "
Big Valley Joint Unified,"$20,402 ","$44,293 "
West Contra Costa Unified,"$14,231 ","$78,737 "
French Gulch-Whiskeytown Elementary,"$20,522 ","$43,516 "
Tracy Joint Unified,"$12,026 ","$89,840 "
Gold Trail Union Elementary,"$10,796 ","$95,995 "
Los Nietos,"$16,034 ","$65,826 "
Princeton Joint Unified,"$17,143 ","$64,432 "
Charter Oak Unified,"$12,980 ","$81,022 "
Luther Burbank,"$14,430 ","$73,766 "
Winters Joint Unified,"$12,967 ","$85,389 "
Pleasant Valley,"$10,729 ","$96,721 "
Ocean View - Huntington Beach,"$11,812 ","$91,312 "
Centralia Elementary,"$13,146 ","$80,010 "
Hacienda La Puente Unified,"$13,372 ","$78,870 "
Napa Valley Unified,"$12,313 ","$88,859 "
Valley Center-Pauma Unified,"$12,289 ","$89,200 "
General Shafter Elementary,"$18,252 ","$59,375 "
Alta-Dutch Flat Union Elementary,"$15,515 ","$73,162 "
Esparto Unified,"$14,026 ","$75,176 "
Placer Union High,"$12,944 ","$80,554 "
North Monterey County Unified,"$13,821 ","$81,786 "
West Sonoma County Union High,"$14,139 ","$80,223 "
Sulphur Springs Union,"$11,201 ","$89,165 "
Roseville City Elementary,"$11,431 ","$87,984 "
Hollister,"$12,149 ","$84,369 "
La Habra City Elementary,"$13,455 ","$77,824 "
Hope Elementary - Santa Barbara,"$12,541 ","$82,342 "
Westside Union Elementary,"$10,765 ","$91,196 "
San Marcos Unified,"$11,775 ","$86,027 "
Lawndale Elementary,"$16,218 ","$63,773 "
Murrieta Valley Unified,"$11,338 ","$94,577 "
Rowland Unified,"$13,586 ","$76,914 "
Blochman Union Elementary,"$11,481 ","$94,000 "
Sierra Unified,"$14,484 ","$72,239 "
Round Valley Unified,"$21,257 ","$38,279 "
Dixon Unified,"$12,277 ","$83,143 "
Oxnard Union High,"$13,175 ","$78,649 "
Santa Barbara Unified,"$13,495 ","$77,021 "
Alta Loma Elementary,"$10,389 ","$99,689 "
Junction Elementary - Palo Cedro,"$12,073 ","$84,097 "
Los Alamitos Unified,"$11,866 ","$85,092 "
Grossmont Union High,"$14,539 ","$71,670 "
Oakland Unified,"$15,652 ","$73,561 "
Wilmar Union Elementary,"$10,527 ","$91,597 "
Orcutt Union Elementary,"$11,083 ","$88,607 "
Huntington Beach Union High,"$12,816 ","$88,159 "
Bonita Unified,"$11,358 ","$87,054 "
Fullerton Elementary,"$12,242 ","$82,576 "
Cypress Elementary,"$11,127 ","$96,702 "
Placer Hills Union Elementary,"$10,567 ","$90,825 "
El Dorado Union High,"$12,260 ","$91,182 "
Potter Valley Community Unified,"$17,008 ","$58,478 "
Lagunita Elementary,"$10,287 ","$92,083 "
Chaffey Joint Union High,"$13,298 ","$76,972 "
Antioch Unified,"$13,551 ","$75,642 "
Fallbrook Union High,"$14,957 ","$68,553 "
Santee,"$11,103 ","$87,821 "
Wheatland Union High,"$12,833 ","$88,694 "
Arcohe Union Elementary,"$11,156 ","$87,477 "
Bret Harte Union High,"$17,977 ","$62,973 "
Corona-Norco Unified,"$11,658 ","$94,613 "
Peninsula Union,"$20,229 ","$41,985 "
Newhall,"$11,279 ","$96,590 "
Escondido Union High,"$14,895 ","$68,598 "
San Leandro Unified,"$12,979 ","$78,181 "
San Lorenzo Valley Unified,"$11,012 ","$98,013 "
Western Placer Unified,"$11,111 ","$87,463 "
Fillmore Unified,"$13,555 ","$75,201 "
Live Oak Elementary,"$13,933 ","$73,229 "
Mupu Elementary,"$9,669 ","$94,500 "
Elverta Joint Elementary,"$12,239 ","$81,613 "
North Cow Creek Elementary,"$10,364 ","$90,938 "
Elk Grove Unified,"$12,557 ","$79,728 "
Rio Bravo-Greeley Union Elementary,"$10,043 ","$103,403 "
Junction Elementary - Somes Bar,"$22,308 ","$42,083 "
Klamath-Trinity Joint Unified,"$20,560 ","$39,613 "
Alpine Union Elementary,"$10,833 ","$88,263 "
Dry Creek Joint Elementary,"$10,534 ","$89,743 "
Vacaville Unified,"$11,479 ","$84,968 "
Covina-Valley Unified,"$13,698 ","$73,801 "
Temecula Valley Unified,"$10,666 ","$100,688 "
Downey Unified,"$13,423 ","$74,957 "
Abc Unified,"$12,189 ","$81,101 "
Rosedale Union Elementary,"$10,852 ","$99,938 "
Baker Valley Unified,"$22,888 ","$27,404 "
Clovis Unified,"$11,404 ","$84,832 "
Valley Home Joint Elementary,"$11,440 ","$97,072 "
Cloverdale Unified,"$13,820 ","$72,649 "
Glendora Unified,"$11,441 ","$97,274 "
Santa Ana Unified,"$14,679 ","$68,140 "
Foresthill Union Elementary,"$12,150 ","$80,772 "
Walnut Creek Elementary,"$11,373 ","$97,735 "
Fullerton Joint Union High,"$12,063 ","$81,100 "
Ramona City Unified,"$11,309 ","$98,201 "
Taft Union High,"$23,039 ","$39,520 "
Buena Park Elementary,"$13,609 ","$73,313 "
Culver City Unified,"$11,949 ","$95,044 "
Janesville Union Elementary,"$10,014 ","$91,205 "
Mark West Union Elementary,"$11,610 ","$83,167 "
Cuyama Joint Unified,"$19,155 ","$45,395 "
Natomas Unified,"$12,033 ","$81,010 "
Salida Union Elementary,"$12,999 ","$76,157 "
Whittier Union High,"$15,862 ","$75,733 "
Center Joint Unified,"$12,916 ","$76,455 "
Imperial Unified,"$11,762 ","$82,136 "
Midway Elementary,"$22,050 ","$45,000 "
Roseville Joint Union High,"$12,476 ","$92,924 "
Aromas - San Juan Unified,"$12,068 ","$95,000 "
Lowell Joint,"$10,051 ","$90,493 "
Twin Hills Union Elementary,"$11,000 ","$100,457 "
Wright Elementary,"$14,541 ","$82,851 "
Carpinteria Unified,"$14,972 ","$80,771 "
Oxnard,"$13,885 ","$71,043 "
Southside Elementary,"$9,512 ","$108,143 "
Los Angeles Unified,"$15,793 ","$61,375 "
Rincon Valley Union Elementary,"$13,945 ","$86,045 "
Gravenstein Union Elementary,"$11,545 ","$98,106 "
Hart-Ransom Union Elementary,"$9,945 ","$90,550 "
Junction City Elementary,"$17,317 ","$53,629 "
Mccabe Union Elementary,"$10,652 ","$102,672 "
Elkins Elementary,"$19,077 ","$44,750 "
Santa Clara Elementary,"$11,068 ","$100,625 "
Plumas Lake Elementary,"$10,599 ","$102,979 "
Twain Harte,"$15,813 ","$76,895 "
Wheatland,"$13,517 ","$72,473 "
Borrego Springs Unified,"$18,028 ","$49,883 "
Pomona Unified,"$15,089 ","$64,578 "
Ojai Unified,"$12,123 ","$79,371 "
Carlsbad Unified,"$11,270 ","$99,805 "
Mcswain Union Elementary,"$10,811 ","$102,138 "
Edison Elementary,"$14,633 ","$66,731 "
Fairfield-Suisun Unified,"$11,182 ","$83,874 "
Soquel Union Elementary,"$11,436 ","$82,557 "
Alvord Unified,"$13,771 ","$70,862 "
Sonoma Valley Unified,"$14,357 ","$84,669 "
Riverside Unified,"$13,303 ","$73,093 "
Lakeside Union Elementary - Lakeside,"$12,255 ","$78,320 "
Loomis Union Elementary,"$9,833 ","$107,379 "
North County Joint Union Elementary,"$10,336 ","$104,904 "
Arcadia Unified,"$12,188 ","$95,684 "
