National Center for Education Statistics,,,,,,,,,,,,,
Education Finance Peer Tool,,,,,,,,,,,,,
The file contains (980) records based on your search.,,,,,,,,,,,,,
NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user.,,,,,,,,,,,,,
LEAID,DistrictName,State,SchoolLevel,GradeSpanLow,GradeSpanHigh,ZipCode,TotalSchools,TotalFiscalStudents,TotalStudents,ClassroomTeachersFTE,StudentTeacherRatio,SummerMigrantStudents,ELLStudents
0601620,ABC Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,90703,30,20465,20465,827.4,24.7341068407058,,3787
0601650,Acalanes Union High,CALIFORNIA,02-Secondary school system only,09,12,94549,5,5683,5683,276.5,20.5533453887884,,103
0601680,Ackerman Charter,CALIFORNIA,06-Nonoperating school system,KG,08,95603,1,,593,25.4,23.3464566929134,,22
0600001,Acton-Agua Dulce Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,93510,3,1085,1085,49.1,22.0977596741344,,133
0601710,Adelanto Elementary,CALIFORNIA,01-Elementary school system only,KG,12,92301,15,8234,8234,324.93,25.3408426430308,,1247
0691051,Alameda County Office of Education,CALIFORNIA,05-Vocational or special education school system,KG,12,94544,4,,,,0,,41
0601770,Alameda Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,94501,17,9383,9383,400.6,23.4223664503245,,1277
0601860,Albany City Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,94706,6,3682,3682,155.56,23.6693237336076,,583
0601890,Alexander Valley Union Elementary,CALIFORNIA,01-Elementary school system only,KG,06,95448,1,110,110,8.38,13.126491646778,,18
0600153,Alhambra Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,91803,18,16531,16531,658.91,25.0884035756021,,4040
0601950,Alisal Union,CALIFORNIA,01-Elementary school system only,KG,06,93905,12,8605,8605,343,25.0874635568513,,6271
0601980,Allensworth Elementary,CALIFORNIA,01-Elementary school system only,KG,08,93219,1,88,88,4.66,18.8841201716738,,58
0602010,Alpaugh Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,93201,3,323,323,16.84,19.1805225653207,,171
0691058,Alpine County Office of Education,CALIFORNIA,05-Vocational or special education school system,01,12,96120,1,0,0,0,0,,
