National Center for Education Statistics,,,,,,,,,,,,
Education Finance Peer Tool,,,,,,,,,,,,
The file contains (980) records based on your search.,,,,,,,,,,,,
NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user.,,,,,,,,,,,,
LEAID,DistrictName,State,SchoolLevel,GradeSpanLow,GradeSpanHigh,ZipCode,TotalCurrentExpendituresPerStudent,InstructionalExpendituresPerStudent,StudentandStaffSupportPerStudent,AdministrationPerStudent,OperationsPerStudent,v33
0601620,ABC Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,90703,12188.8590276081,7461.27534815539,1368.67823112631,1511.11654043489,1847.78890789152,20465
0601650,Acalanes Union High,CALIFORNIA,02-Secondary school system only,09,12,94549,15267.4643674116,9064.93049445715,2838.28963575576,1286.46841456977,2077.77582262889,5683
0601680,Ackerman Charter,CALIFORNIA,06-Nonoperating school system,KG,08,95603,0,0,0,0,0,
0600001,Acton-Agua Dulce Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,93510,14317.9723502304,7477.41935483871,1454.37788018433,3004.60829493088,2381.5668202765,1085
0601710,Adelanto Elementary,CALIFORNIA,01-Elementary school system only,KG,12,92301,12993.1989312606,7618.77580762691,1050.64367257712,1759.77653631285,2564.00291474375,8234
0691051,Alameda County Office of Education,CALIFORNIA,05-Vocational or special education school system,KG,12,94544,0,0,0,0,0,
0601770,Alameda Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,94501,13435.8947031866,8699.24331237344,1120.32399019503,1759.45859533198,1856.86880528616,9383
0601860,Albany City Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,94706,13547.5285171103,8690.38565996741,1463.33514394351,1827.53938077132,1566.26833242803,3682
0601890,Alexander Valley Union Elementary,CALIFORNIA,01-Elementary school system only,KG,06,95448,21281.8181818182,12890.9090909091,727.272727272727,4981.81818181818,2681.81818181818,110
0600153,Alhambra Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,91803,14392.2327747868,8166.77756941504,2128.30439779808,1745.99237795657,2351.15842961708,16531
0601950,Alisal Union,CALIFORNIA,01-Elementary school system only,KG,06,93905,12215.1074956421,7372.10923881464,1568.27425915166,1350.14526438117,1924.5787332946,8605
0601980,Allensworth Elementary,CALIFORNIA,01-Elementary school system only,KG,08,93219,12340.9090909091,6659.09090909091,545.454545454546,1886.36363636364,3250,88
0602010,Alpaugh Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,93201,14458.2043343653,8594.42724458204,501.547987616099,2520.12383900929,2842.10526315789,323
0691058,Alpine County Office of Education,CALIFORNIA,05-Vocational or special education school system,01,12,96120,0,0,0,0,0,0
0602070,Alpine County Unified,CALIFORNIA,01-Elementary school system only,KG,12,96120,43481.0126582278,19329.1139240506,4810.12658227848,11620.253164557,7721.51898734177,79
0602100,Alpine Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,91901,10833.1265508685,6790.32258064516,581.885856079404,1892.67990074442,1568.2382133995,1612
0602160,Alta Loma Elementary,CALIFORNIA,01-Elementary school system only,KG,08,91701,10389.4214876033,6792.56198347107,788.760330578512,1385.61983471074,1422.47933884298,6050
0602220,Alta Vista Elementary,CALIFORNIA,01-Elementary school system only,KG,08,93257,13210.8013937282,8372.82229965157,405.923344947735,2306.62020905923,2125.43554006969,574
0602250,Alta-Dutch Flat Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95701,15515.1515151515,9121.21212121212,181.818181818182,3969.69696969697,2242.42424242424,99
0602310,Alum Rock Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95127,16177.6992621843,10052.9980255638,1220.51335342409,2310.50607918529,2593.68180401122,9623
0602360,Alview-Dairyland Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,93610,11258.7064676617,6664.17910447761,246.268656716418,1930.34825870647,2417.91044776119,402
0602370,Alvina Elementary,CALIFORNIA,06-Nonoperating school system,KG,08,93609,0,0,0,0,0,
0602430,Alvord Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,92879,13770.5901426719,8660.50583657588,1544.20665801989,1452.60484219628,2113.27280587981,18504
0691001,Amador County Office of Education,CALIFORNIA,05-Vocational or special education school system,KG,12,95642,68803.1088082902,36699.481865285,19284.9740932642,6554.40414507772,6264.24870466321,193
0602450,Amador County Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,95642,9889.7021706209,5570.67137809187,574.457344775366,1761.48409893993,1983.08934881373,3962
0602610,Anaheim Elementary,CALIFORNIA,01-Elementary school system only,KG,06,92805,13560.1821340842,8052.36354921814,2036.72637948595,1925.948115751,1545.14408962914,16691
0602630,Anaheim Union High,CALIFORNIA,02-Secondary school system only,07,12,92803,13448.8313746204,8494.52000528192,1187.87138518421,1443.15330780404,2323.28667635019,30292
0602700,Anderson Union High,CALIFORNIA,02-Secondary school system only,09,12,96007,12566.493955095,6620.03454231434,1776.62636729994,1604.49050086356,2565.34254461716,1737
0602730,Anderson Valley Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,95415,17183.6734693878,10457.1428571429,828.571428571429,2936.73469387755,2961.22448979592,490
0602760,Antelope Elementary,CALIFORNIA,01-Elementary school system only,KG,08,96080,10942.7570093458,7371.4953271028,441.588785046729,1546.72897196262,1582.94392523364,856
0602820,Antelope Valley Union High,CALIFORNIA,02-Secondary school system only,07,12,93534,13693.4202014601,8342.29738471491,1618.98160983273,1673.41280842806,2058.72839848443,21642
0602850,Antioch Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,94509,13550.6050605061,8693.31377582203,1056.53343112089,1776.37208165261,2024.38577191052,16362
0600017,Apple Valley Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,92308,10395.8775386481,6628.59957562898,612.382540163686,1536.29887844801,1618.5965444074,13196
0602970,Arcadia Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,91006,12187.6669872822,7992.30522603399,1076.52025221759,1576.68056000855,1542.16094902212,9357
0603000,Arcata Elementary,CALIFORNIA,01-Elementary school system only,KG,12,95521,12659.875996457,7682.9052258636,658.104517271922,2386.18246235607,1932.68379096546,1129
