National Center for Education Statistics,,,,,,,,,,,,,,,,,
Education Finance Peer Tool,,,,,,,,,,,,,,,,,
The file contains (980) records based on your search.,,,,,,,,,,,,,,,,,
NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user.,,,,,,,,,,,,,,,,,
LEAID,NAME,FIPST,MSTATE,FIPST_NAME,GSLO,GSHI,a_type,distlocale,SchoolLevel,LocaleCode,LocaleText,data_type,MSC,MSCText,TypeCode,TypeText,PercentPoverty
0624600,Merced City Elementary,06,CA,CALIFORNIA,KG,08,1,13,01-Elementary school system only,13,City: Small,MetroMicro,1,Metropolitan Area,1,Regular School District,35.9083991593594
0624660,Merced Union High,06,CA,CALIFORNIA,09,12,1,13,02-Secondary school system only,13,City: Small,MetroMicro,1,Metropolitan Area,1,Regular School District,32.8785669652156
0624500,Milpitas Unified,06,CA,CALIFORNIA,KG,12,1,13,03-Elementary/secondary school system,13,City: Small,MetroMicro,1,Metropolitan Area,1,Regular School District,8.92489481693671
0625110,Mission Union Elementary,06,CA,CALIFORNIA,KG,08,1,42,01-Elementary school system only,42,Rural: Distant,MetroMicro,1,Metropolitan Area,1,Regular School District,8.53658536585366
0625380,Montague Elementary,06,CA,CALIFORNIA,KG,08,1,42,01-Elementary school system only,42,Rural: Distant,MetroMicro,0,No Type Code,1,Regular School District,27.0833333333333
0625980,Mother Lode Union Elementary,06,CA,CALIFORNIA,KG,08,1,41,01-Elementary school system only,41,Rural: Fringe,MetroMicro,1,Metropolitan Area,1,Regular School District,13.151239251391
0626340,Mt. Baldy Joint Elementary,06,CA,CALIFORNIA,KG,08,1,41,01-Elementary school system only,41,Rural: Fringe,MetroMicro,1,Metropolitan Area,1,Regular School District,0
0626400,Mount Pleasant Elementary,06,CA,CALIFORNIA,KG,08,1,11,01-Elementary school system only,11,City: Large,MetroMicro,1,Metropolitan Area,1,Regular School District,13.7266355140187
0600018,Mountain Valley Unified,06,CA,CALIFORNIA,KG,12,1,43,03-Elementary/secondary school system,43,Rural: Remote,MetroMicro,0,No Type Code,1,Regular School District,34.6698113207547
0627200,Newman-Crows Landing Unified,06,CA,CALIFORNIA,KG,12,1,32,03-Elementary/secondary school system,32,Town: Distant,MetroMicro,1,Metropolitan Area,1,Regular School District,15.9765788373066
0627300,Nicasio,06,CA,CALIFORNIA,KG,08,1,41,01-Elementary school system only,41,Rural: Fringe,MetroMicro,1,Metropolitan Area,1,Regular School District,3.33333333333333
0627510,North Cow Creek Elementary,06,CA,CALIFORNIA,KG,08,1,41,01-Elementary school system only,41,Rural: Fringe,MetroMicro,1,Metropolitan Area,1,Regular School District,9.09090909090909
0628470,Ontario-Montclair,06,CA,CALIFORNIA,KG,08,1,12,01-Elementary school system only,12,City: Midsize,MetroMicro,1,Metropolitan Area,1,Regular School District,23.3896223518575
0628710,Orcutt Union Elementary,06,CA,CALIFORNIA,KG,12,1,22,03-Elementary/secondary school system,22,Suburb: Midsize,MetroMicro,1,Metropolitan Area,1,Regular School District,8.1924577373212
0628950,Oro Grande,06,CA,CALIFORNIA,KG,12,1,21,03-Elementary/secondary school system,21,Suburb: Large,MetroMicro,1,Metropolitan Area,1,Regular School District,39.7260273972603
0620430,Laguna Joint Elementary,06,CA,CALIFORNIA,KG,06,1,41,01-Elementary school system only,41,Rural: Fringe,MetroMicro,1,Metropolitan Area,1,Regular School District,8
0620490,Lagunita Elementary,06,CA,CALIFORNIA,KG,08,1,41,01-Elementary school system only,41,Rural: Fringe,MetroMicro,1,Metropolitan Area,1,Regular School District,17.2413793103448
0620700,Lakeside Joint,06,CA,CALIFORNIA,KG,05,1,41,01-Elementary school system only,41,Rural: Fringe,MetroMicro,1,Metropolitan Area,1,Regular School District,10.0946372239748
0621150,Laton Joint Unified,06,CA,CALIFORNIA,KG,12,1,41,03-Elementary/secondary school system,41,Rural: Fringe,MetroMicro,1,Metropolitan Area,1,Regular School District,22.2222222222222
0621180,Latrobe,06,CA,CALIFORNIA,KG,08,1,42,01-Elementary school system only,42,Rural: Distant,MetroMicro,1,Metropolitan Area,1,Regular School District,7.421875
0621240,Le Grand Union Elementary,06,CA,CALIFORNIA,KG,08,1,42,01-Elementary school system only,42,Rural: Distant,MetroMicro,1,Metropolitan Area,1,Regular School District,26.2042389210019
0621270,Le Grand Union High,06,CA,CALIFORNIA,09,12,1,42,02-Secondary school system only,42,Rural: Distant,MetroMicro,1,Metropolitan Area,1,Regular School District,31.25
0621870,Lindsay Unified,06,CA,CALIFORNIA,KG,12,1,31,03-Elementary/secondary school system,31,Town: Fringe,MetroMicro,1,Metropolitan Area,1,Regular School District,38.7972841901067
0621960,Little Shasta Elementary,06,CA,CALIFORNIA,KG,06,1,43,01-Elementary school system only,43,Rural: Remote,MetroMicro,0,No Type Code,1,Regular School District,17.5
0622650,Los Altos Elementary,06,CA,CALIFORNIA,KG,08,1,21,01-Elementary school system only,21,Suburb: Large,MetroMicro,1,Metropolitan Area,1,Regular School District,3.50603817686015
