,school_district,district_codes,LEAID,county,participation_rate_11,participation_rate_12,participation_rate_total,total_enroll,%erw_12,%math_12,%both_12,%erw_11,%math_11,%both_11,student_teacher_ratio,total_cur_exp,instructional_exp,student_staff_support_exp,admin_exp,operations_exp,%kids_poverty,locale_type,avg_household_income
0,Fremont Unified,161176,0614400,Alameda,0.5463796477495108,0.33307055577453687,0.44010212097407697,5092.0,90.77,82.25,80.24,97.78,94.63,93.98,22.4869515705564,11629.1919873959,7778.21854602746,1119.26063470628,1299.12221471978,1432.59059194238,8.03228946012481,Suburb: Large,133339.0
1,Piedmont City Unified,161275,0630330,Alameda,0.46634615384615385,0.33766233766233766,0.39863325740318906,439.0,87.18,79.49,78.21,100.0,98.97,98.97,17.5607116282216,17680.2773497689,11271.186440678,1728.04314329738,2825.88597842835,1855.16178736518,2.74402195217562,Suburb: Large,224205.0
2,San Leandro Unified,161291,0634680,Alameda,0.6589928057553956,0.25596816976127323,0.4492753623188406,1449.0,71.5,43.01,39.9,52.18,30.57,26.64,23.7009107564855,12979.0499663903,8449.13735155725,1208.60407797446,1493.72619314363,1827.58234371499,12.720540187323,City: Small,78181.0
3,Fresno Unified,1062166,0614550,Fresno,0.6350242054304357,0.22817330720661877,0.4350385273972603,9344.0,58.3,32.82,30.82,49.98,23.96,22.57,22.9978085627663,14625.4778502361,8569.9488419159,1939.39734652575,1515.516078255,2600.61558353946,34.5890567243189,City: Large,41704.0
4,Mendota Unified,1075127,0600022,Fresno,0.38578680203045684,0.2948717948717949,0.33642691415313225,431.0,33.33,15.94,13.04,56.58,31.58,27.63,22.7450728638377,12746.2602314423,7399.66130397968,888.51255997742,1875.24696584815,2582.83940163703,34.7131147540984,Rural: Fringe,30542.0
5,Calipatria Unified,1363107,0606990,Imperial,0.11956521739130435,0.2967032967032967,0.20765027322404372,183.0,51.85,22.22,18.52,,,,17.6947040498442,15098.5915492958,8617.07746478873,1037.85211267606,2442.78169014085,3000.88028169014,25.4928619986404,Town: Distant,32625.0
6,Wasco Union High,1563859,0641430,Kern,0.06971153846153846,0.40618101545253865,0.24510932105868816,869.0,43.48,26.09,21.74,68.97,58.62,55.17,23.0721700444884,12441.3497589716,6835.5650776647,1461.7032672737,1796.46491697911,2347.6164970541,28.8288288288288,Town: Distant,39137.0
7,Gorman Joint,1964584,0615600,Los Angeles,0.072,0.22123893805309736,0.14285714285714285,238.0,88.0,48.0,48.0,,,,23.4285714285714,15585.3658536585,6500.0,487.80487804878,5317.07317073171,3280.48780487805,54.5454545454545,Rural: Fringe,82500.0
8,Lynwood Unified,1964774,0623160,Los Angeles,0.7794970986460348,0.2658582089552239,0.5180436847103513,2106.0,54.04,20.35,18.6,39.7,13.4,12.16,24.7831786105475,13450.8766845385,7602.01420084046,1522.67787277206,1989.49427619186,2336.6903347341,24.853031745143,Suburb: Large,52007.0
9,Whittier Union High,1965128,0642480,Los Angeles,0.28648261025457156,0.40255905511811024,0.34709611101593285,5837.0,69.11,46.05,42.46,75.09,63.2,57.57,25.4105483633771,15862.1536303052,8913.10066643283,2351.10487548229,1501.3153279551,3096.63276043494,15.2129817444219,Suburb: Large,75733.0
10,Rowland Unified,1973452,0633750,Los Angeles,0.3018181818181818,0.3254637436762226,0.31408573928258965,2286.0,70.21,48.96,45.08,81.33,72.89,69.28,24.4113203375465,13586.308400634,8213.07268473092,1606.46086497094,1693.10891388029,2073.66593705185,18.2226088549059,Suburb: Large,76914.0
11,Tamalpais Union High,2165482,0638790,Marin,0.448559670781893,0.35279805352798055,0.40032679738562094,2448.0,95.4,83.45,82.99,97.98,90.46,89.72,18.1998628604425,19565.3380924053,12276.0261748959,2782.86734086853,2282.56989886972,2223.87467777117,5.61117578579744,Suburb: Large,134656.0
12,Mendocino Unified,2365581,0624480,Mendocino,0.23809523809523808,0.3269230769230769,0.2872340425531915,94.0,100.0,70.59,70.59,,,,14.0424417081478,21598.8805970149,9841.41791044776,1694.02985074627,2841.41791044776,7222.01492537313,14.0405616224649,Rural: Distant,62563.0
13,Leggett Valley Unified,2375218,0609665,Mendocino,1.1428571428571428,0.8333333333333334,1.0,13.0,,,,,,,10.7925801011804,22062.5,13023.4375,31.25,4125.0,4882.8125,31.858407079646,Rural: Remote,22500.0
14,Big Sur Unified,2775150,0600031,Monterey,0.3333333333333333,,0.3333333333333333,3.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,16.9230769230769,Rural: Remote,39583.0
15,San Bernardino County Office of Education,3610363,0691029,San Bernardino,0.11281337047353761,0.11441307578008915,0.11358734723220705,1391.0,72.73,31.17,28.57,86.42,50.62,50.62,11.1391156648951,135726.020659124,52121.9872110182,50882.9316281358,24776.1928184948,7944.90900147565,,City: Midsize,
16,Chaffey Joint Union High,3667652,0608160,San Bernardino,0.38621162750814614,0.40307641415812107,0.3947966658247032,11877.0,69.55,45.1,42.39,80.64,62.88,59.46,24.1963426371511,13298.3293556086,8652.2212452372,1574.38345266508,1169.74416949294,1901.98048821337,16.833183389365,Suburb: Large,76972.0
